case_id,db_id,variant,question,search_expressions,mode,expected_tables,retrieved_tables_top5,table_recall_at_5,expected_columns,retrieved_columns_top10,column_recall_at_10,actual_sql,used_tables,used_columns,sql_uses_expected_tables,sql_uses_expected_columns,query_execution_success,task_solved,latency_ms,retrieval_latency_ms,embedding_build_time_ms,vector_available,step_count,db_search_call_count,failure_class,failure_reason
spider_concert_singer_001,concert_singer,keyword,How many singers do we have?,"[""singer"", ""singers count"", ""number of singers"", ""singer table""]",ai-assisted-retrieval,"[""singer""]","[""singer"", ""singer_in_concert""]",True,[],"[""singer.country"", ""singer.singer_id"", ""singer_in_concert.singer_id"", ""singer.age"", ""singer.is_male"", ""singer.name"", ""singer.song_name""]",True,,[],[],False,True,False,False,39,38.946,0.0,,6,4,none,
spider_concert_singer_002,concert_singer,keyword,What is the total number of singers?,"[""singer count"", ""singers total"", ""number of singers"", ""singer""]",ai-assisted-retrieval,"[""singer""]","[""singer"", ""singer_in_concert""]",True,[],"[""singer.singer_id"", ""singer_in_concert.singer_id"", ""singer.country"", ""singer.age"", ""singer.is_male"", ""singer.name"", ""singer.song_name""]",True,,[],[],False,True,False,False,16,15.824,0.0,,6,4,none,
spider_concert_singer_003,concert_singer,keyword,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","[""singer name country age"", ""singers table columns"", ""age descending order"", ""singer demographics""]",ai-assisted-retrieval,"[""singer""]","[""singer"", ""singer_in_concert""]",True,"[""singer.age"", ""singer.country"", ""singer.name""]","[""singer.age"", ""singer.country"", ""singer.name"", ""stadium.average"", ""singer.singer_id""]",True,,[],[],False,False,False,False,44,42.979,0.0,,6,4,none,
spider_concert_singer_004,concert_singer,keyword,"What are the names, countries, and ages for every singer in descending order of age?","[""singer name country age"", ""singers table columns"", ""age descending order"", ""singer demographics""]",ai-assisted-retrieval,"[""singer""]","[""singer"", ""singer_in_concert""]",True,"[""singer.age"", ""singer.country"", ""singer.name""]","[""singer.age"", ""singer.country"", ""singer.name"", ""stadium.average"", ""singer.singer_id""]",True,,[],[],False,False,False,False,22,21.394,0.0,,6,4,none,
spider_concert_singer_005,concert_singer,keyword,"What is the average, minimum, and maximum age of all singers from France?","[""singer age France"", ""singers average min max age"", ""singer country age"", ""concert_singer singers""]",ai-assisted-retrieval,"[""singer""]","[""singer"", ""singer_in_concert"", ""stadium""]",True,"[""singer.age"", ""singer.country""]","[""singer.age"", ""stadium.average"", ""singer.singer_id"", ""singer_in_concert.singer_id"", ""singer.country""]",True,,[],[],False,False,False,False,28,27.516,0.0,,6,4,none,
spider_concert_singer_006,concert_singer,keyword,"What is the average, minimum, and maximum age for all French singers?","[""French singers age"", ""singer nationality age"", ""avg min max age"", ""concert_singer singers table""]",ai-assisted-retrieval,"[""singer""]","[""singer"", ""stadium""]",True,"[""singer.age"", ""singer.country""]","[""singer.age"", ""stadium.average"", ""singer.singer_id"", ""singer_in_concert.singer_id""]",False,,[],[],False,False,False,False,18,18.017,0.0,,6,4,retrieval_miss,task not solved
spider_concert_singer_007,concert_singer,keyword,Show the name and the release year of the song by the youngest singer.,"[""song name release year"", ""youngest singer"", ""singer age"", ""song singer""]",ai-assisted-retrieval,"[""singer""]","[""singer"", ""singer_in_concert""]",True,"[""singer.age"", ""singer.song_name"", ""singer.song_release_year""]","[""singer.song_name"", ""singer.song_release_year"", ""singer.name"", ""singer.singer_id"", ""singer_in_concert.singer_id"", ""singer.age""]",True,,[],[],False,False,False,False,19,18.285,0.0,,6,4,none,
spider_concert_singer_008,concert_singer,keyword,What are the names and release years for all the songs of the youngest singer?,"[""youngest singer"", ""song name release year"", ""singer age song"", ""songs release_year""]",ai-assisted-retrieval,"[""singer""]","[""singer"", ""singer_in_concert""]",True,"[""singer.age"", ""singer.song_name"", ""singer.song_release_year""]","[""singer.song_release_year"", ""singer.song_name"", ""singer.name"", ""singer.singer_id"", ""singer.age"", ""singer_in_concert.singer_id""]",True,,[],[],False,False,False,False,20,19.556,0.0,,6,4,none,
spider_concert_singer_009,concert_singer,keyword,What are all distinct countries where singers above age 20 are from?,"[""singer country"", ""singers age"", ""distinct countries"", ""singer nationality""]",ai-assisted-retrieval,"[""singer""]","[""singer"", ""singer_in_concert""]",True,"[""singer.age"", ""singer.country""]","[""singer.age"", ""singer.singer_id"", ""singer_in_concert.singer_id"", ""singer.country"", ""singer.is_male"", ""singer.name""]",True,,[],[],False,False,False,False,14,14.178,0.0,,6,4,none,
spider_concert_singer_010,concert_singer,keyword,What are  the different countries with singers above age 20?,"[""singer country age"", ""singers countries"", ""country singer"", ""age > 20""]",ai-assisted-retrieval,"[""singer""]","[""singer"", ""singer_in_concert"", ""stadium""]",True,"[""singer.age"", ""singer.country""]","[""singer.age"", ""singer.country"", ""stadium.average"", ""singer.singer_id"", ""singer_in_concert.singer_id""]",True,,[],[],False,False,False,False,19,18.125,0.0,,6,4,none,
