case_id,db_id,variant,question,search_expressions,mode,expected_tables,retrieved_tables_top5,table_recall_at_5,expected_columns,retrieved_columns_top10,column_recall_at_10,actual_sql,used_tables,used_columns,sql_uses_expected_tables,sql_uses_expected_columns,query_execution_success,task_solved,latency_ms,retrieval_latency_ms,embedding_build_time_ms,vector_available,step_count,db_search_call_count,failure_class,failure_reason
spider_tiny_school_001,tiny_school,keyword,How many students are there?,"[""students"", ""student count"", ""num_students"", ""student""]",ai-assisted-retrieval,"[""students""]","[""students"", ""courses""]",True,[],"[""students.age"", ""students.id"", ""students.name"", ""courses.student_id""]",True,,[],[],False,True,False,False,14,13.402,0.0,,6,4,none,
spider_tiny_school_002,tiny_school,keyword,What is the average score?,"[""average score"", ""score"", ""avg"", ""grade""]",ai-assisted-retrieval,"[""courses""]","[""courses""]",True,"[""courses.score""]","[""courses.score""]",True,,[],[],False,False,False,False,5,5.317,0.0,,6,4,none,
spider_tiny_school_003,tiny_school,keyword,List all student names.,"[""student name"", ""students"", ""name"", ""student""]",ai-assisted-retrieval,"[""students""]","[""students"", ""courses""]",True,"[""students.name""]","[""students.name"", ""students.age"", ""students.id"", ""courses.name"", ""courses.student_id""]",True,,[],[],False,False,False,False,7,7.141,0.0,,6,4,none,
spider_tiny_school_004,tiny_school,keyword,Show the highest score for each student.,"[""highest score"", ""student score"", ""max score by student"", ""student_id score""]",ai-assisted-retrieval,"[""courses"", ""students""]","[""courses"", ""students""]",True,"[""courses.score"", ""courses.student_id"", ""students.id"", ""students.name""]","[""courses.score"", ""courses.student_id"", ""students.age"", ""students.id"", ""students.name""]",True,,[],[],False,False,False,False,12,12.306,0.0,,6,4,none,
spider_tiny_school_005,tiny_school,keyword,Who scored above 85?,"[""scored above 85"", ""score"", ""student"", ""grade""]",ai-assisted-retrieval,"[""courses"", ""students""]","[""courses"", ""students""]",True,"[""courses.score"", ""courses.student_id"", ""students.id"", ""students.name""]","[""courses.score"", ""courses.student_id"", ""students.age"", ""students.id"", ""students.name""]",True,,[],[],False,False,False,False,8,8.297,0.0,,6,4,none,
spider_tiny_school_006,tiny_school,keyword,Which courses did Alice take?,"[""courses"", ""Alice"", ""take"", ""student_course""]",ai-assisted-retrieval,"[""courses"", ""students""]","[""courses""]",False,"[""courses.name"", ""courses.student_id"", ""students.id"", ""students.name""]","[""courses.id"", ""courses.name"", ""courses.score"", ""courses.student_id""]",False,,[],[],False,False,False,False,5,4.499,0.0,,6,4,retrieval_miss,missing expected tables in retrieval: students
spider_tiny_school_007,tiny_school,keyword,What are the scores for Bob?,"[""scores"", ""Bob"", ""student scores"", ""score""]",ai-assisted-retrieval,"[""courses"", ""students""]","[""students"", ""courses""]",True,"[""courses.score"", ""courses.student_id"", ""students.id"", ""students.name""]","[""courses.score"", ""courses.student_id"", ""students.age"", ""students.id"", ""students.name""]",True,,[],[],False,False,False,False,5,5.36,0.0,,6,4,none,
spider_tiny_school_008,tiny_school,keyword,How many courses are recorded?,"[""courses"", ""course count"", ""number of courses"", ""course""]",ai-assisted-retrieval,"[""courses""]","[""courses""]",True,[],"[""courses.id"", ""courses.name"", ""courses.score"", ""courses.student_id""]",True,,[],[],False,True,False,False,7,6.61,0.0,,6,4,none,
spider_tiny_school_009,tiny_school,keyword,List student names and ages.,"[""student name age"", ""students names ages"", ""student_name student_age"", ""student""]",ai-assisted-retrieval,"[""students""]","[""students"", ""courses""]",True,"[""students.age"", ""students.name""]","[""students.age"", ""students.name"", ""students.id"", ""courses.student_id"", ""courses.name""]",True,,[],[],False,False,False,False,10,9.374,0.0,,6,4,none,
spider_tiny_school_010,tiny_school,keyword,What is the youngest student age?,"[""youngest student age"", ""student age"", ""age"", ""students""]",ai-assisted-retrieval,"[""students""]","[""students""]",True,"[""students.age""]","[""students.age"", ""students.id"", ""students.name"", ""courses.student_id""]",True,,[],[],False,False,False,False,10,9.412,0.0,,6,4,none,
spider_tiny_school_011,tiny_school,keyword,What is the oldest student age?,"[""oldest student age"", ""student age"", ""age"", ""students""]",ai-assisted-retrieval,"[""students""]","[""students""]",True,"[""students.age""]","[""students.age"", ""students.id"", ""students.name"", ""courses.student_id""]",True,,[],[],False,False,False,False,10,10.257,0.0,,6,4,none,
spider_tiny_school_012,tiny_school,keyword,Which students are older than 20?,"[""students age"", ""student age > 20"", ""older than 20"", ""student birth_date""]",ai-assisted-retrieval,"[""students""]","[""students"", ""courses""]",True,"[""students.age"", ""students.name""]","[""students.age"", ""students.id"", ""students.name"", ""courses.student_id""]",True,,[],[],False,False,False,False,10,10.066,0.0,,6,4,none,
